sku,color,size,quantity,category,design_number,lot_number,lot_code
SF1638,,,4,6211 SUIT,SF1636,,
SF1636-03030-38,PURPLE,38,1,6211 SUIT,SF1636,033,03030
SF1636-02004-38,GREEN,38,1,6211 SUIT,SF1636,204,02004
SF1636-01001-42,WHITE,42,1,6211 SUIT,SF1636,OFF,01001
SF1636-02004-38,T.BLUE,38,1,6211 SUIT,SF1636,204,02004
SF1640,,,1,6211 SUIT,SF1636,,
SF1636-01001-42,T.BLUE,42,1,6211 SUIT,SF1636,101,01001
SF1641,,,4,6211 SUIT,SF1636,,
SF1636-05044-42,GREEN,42,1,6211 SUIT,SF1636,450,05044
SF1636-05044-46,GREEN,46,2,6211 SUIT,SF1636,450,05044
SF1636-05044-46,BEIGE,46,1,6211 SUIT,SF1636,450,05044
SF1644,,,3,6211 SUIT,SF1636,,
SF1636-05019-44,PURPLE,44,1,6211 SUIT,SF1636,905,05019
SF1636-05019-50,PURPLE,50,1,6211 SUIT,SF1636,905,05019
SF1636-05019-42,MOVE,42,1,6211 SUIT,SF1636,905,05019
SF1645,,,1,6211 SUIT,SF1636,,
SF1636-01002-42,WHITE,42,1,6211 SUIT,SF1636,OFF,01002
SF1648,,,1,6211 SUIT,SF1636,,
SF1636-00644-44,MUSTARD,44,1,6211 SUIT,SF1636,,
SF1650-06071-38,MUSTARD,38,2,6211 SUIT,SF1650,060,06071
SF1650-06071-42,MUSTARD,42,1,6211 SUIT,SF1650,060,06071
SF1650-06071-46,MUSTARD,46,3,6211 SUIT,SF1650,060,06071
SF1650-06071-40,GREEN,40,1,6211 SUIT,SF1650,060,06071
SF1650-06071-42,GREEN,42,5,6211 SUIT,SF1650,060,06071
SF1650-06071-46,GREEN,46,5,6211 SUIT,SF1650,060,06071
SF1650-00750-50,GREEN,50,1,6211 SUIT,SF1650,,
03338,,,2,6211 SUIT,SF1650,,
03342,,,1,6211 SUIT,SF1650,,
03346,,,1,6211 SUIT,SF1650,,
T.B38,,,1,6211 SUIT,SF1650,,
SF1650-06071-38,T.BLUE,38,1,6211 SUIT,SF1650,060,06071
T.B40,,,1,6211 SUIT,SF1650,,
T.B46,,,2,6211 SUIT,SF1650,,
SF1652,,,2,6211 SUIT,SF1650,,
SF1650-02003-42,BLUE,42,1,6211 SUIT,SF1650,203,02003
SF1650-02003-44,WHITE,44,1,6211 SUIT,SF1650,OFF,02003
SF1653-02012-38,GREEN,38,1,6211 SUIT,SF1653,022,02012
SF1653-02012-40,GREEN,40,1,6211 SUIT,SF1653,022,02012
SF1653-02012-42,GREEN,42,1,6211 SUIT,SF1653,022,02012
SF1653-02012-38,RANI,38,1,6211 SUIT,SF1653,022,02012
SF1653-02012-40,RANI,40,1,6211 SUIT,SF1653,022,02012
SF1653-02012-42,RANI,42,1,6211 SUIT,SF1653,022,02012
SF1653-02012-38,GREY,38,1,6211 SUIT,SF1653,022,02012
SF1653-02012-40,GREY,40,1,6211 SUIT,SF1653,022,02012
SF1653-02012-44,GREY,44,1,6211 SUIT,SF1653,022,02012
SF1655,,,2,6211 SUIT,SF1653,,
SF1653-02001-42,BLUE,42,1,6211 SUIT,SF1653,201,02001
SF1653-01001-42,WHITE,42,1,6211 SUIT,SF1653,OFF,01001
SF1657,,,5,6211 SUIT,SF1653,,
SF1653-03040-38,GREEN,38,1,6211 SUIT,SF1653,340,03040
SF1653-03040-42,GREEN,42,3,6211 SUIT,SF1653,340,03040
SF1653-03040-44,ONION,44,1,6211 SUIT,SF1653,340,03040
SF1661-01001-42,GREEN,42,1,6211 SUIT,SF1661,101,01001
SF1662-06060-38,PURPLE,38,1,6211 SUIT,SF1662,660,06060
SF1662-06060-40,PURPLE,40,1,6211 SUIT,SF1662,660,06060
SF1662-06060-40,GREEN,40,2,6211 SUIT,SF1662,660,06060
SF1662-06060-42,GREEN,42,3,6211 SUIT,SF1662,660,06060
SF1662-05090-50,GREEN,50,2,6211 SUIT,SF1662,059,05090
SF1662-02002-46,WHITE,46,1,6211 SUIT,SF1662,OFF,02002
SF1663,,,1,6211 SUIT,SF1662,,
SF1662-01001-42,BLUE,42,1,6211 SUIT,SF1662,101,01001
SF1668-01001-42,WHITE,42,1,6211 SUIT,SF1668,OFF,01001
SF1669-02030-38,GREEN,38,3,6211 SUIT,SF1669,230,02030
SF1669-03074-40,GREEN,40,1,6211 SUIT,SF1669,374,03074
SF1669-02030-42,GREEN,42,4,6211 SUIT,SF1669,230,02030
SF1669-02030-44,GREEN,44,1,6211 SUIT,SF1669,230,02030
SF1669-02030-42,MOVE,42,3,6211 SUIT,SF1669,230,02030
SF1669-03074-44,MOVE,44,2,6211 SUIT,SF1669,374,03074
SF1669-03074-46,MOVE,46,1,6211 SUIT,SF1669,374,03074
SF1669-02030-38,T.BLUE,38,2,6211 SUIT,SF1669,230,02030
SF1669-02030-40,T.BLUE,40,3,6211 SUIT,SF1669,230,02030
SF1669-02030-42,T.BLUE,42,8,6211 SUIT,SF1669,230,02030
SF1669-03074-44,T.BLUE,44,1,6211 SUIT,SF1669,374,03074
SF1669-03074-46,T.BLUE,46,6,6211 SUIT,SF1669,374,03074
00742,,,7,6211 SUIT,SF1670,,
01542,,,2,6211 SUIT,SF1670,,
SF1671,,,19,6211 SUIT,SF1670,,
00738,,,1,6211 SUIT,SF1670,,
00746,,,3,6211 SUIT,SF1670,,
LMN38,,,2,6211 SUIT,SF1670,,
LMN42,,,5,6211 SUIT,SF1670,,
LMN46,,,2,6211 SUIT,SF1670,,
SF1672,,,2,6211 SUIT,SF1670,,
SF1670-01001-42,GREEN,42,2,6211 SUIT,SF1670,101,01001
SF1670-02001-42,ONION,42,1,6211 SUIT,SF1670,201,02001
SF1674,,,1,6211 SUIT,SF1670,,
SF1682,,,1,6211 SUIT,SF1670,,
SF1670-01001-42,F.BLUE,42,1,6211 SUIT,SF1670,101,01001
SF1686,,,10,6211 SUIT,SF1670,,
SF1670-02003-42,BLUE,42,1,6211 SUIT,SF1670,203,02003
SF1670-04090-38,PURPLE,38,1,6211 SUIT,SF1670,490,04090
SF1670-04090-40,PURPLE,40,1,6211 SUIT,SF1670,490,04090
SF1670-04090-42,PURPLE,42,2,6211 SUIT,SF1670,490,04090
SF1670-04090-46,PURPLE,46,2,6211 SUIT,SF1670,490,04090
SF1670-04090-38,GREEN,38,2,6211 SUIT,SF1670,490,04090
SF1670-02003-42,T.BLUE,42,1,6211 SUIT,SF1670,203,02003
SF1688-02060-42,GREEN,42,2,6211 SUIT,SF1688,026,02060
SF1688-02060-42,T.BLUE,42,1,6211 SUIT,SF1688,026,02060
SF1690-01001-42,T.BLUE,42,1,6211 SUIT,SF1690,101,01001
SF1693-04006-40,GREEN,40,1,6211 SUIT,SF1693,406,04006
SF1693-04006-42,GREEN,42,1,6211 SUIT,SF1693,406,04006
SF1693-01042-42,ONION,42,1,6211 SUIT,SF1693,,
SF1693-03040-38,GREY,38,1,6211 SUIT,SF1693,340,03040
SF1693-01940-40,GREY,40,2,6211 SUIT,SF1693,,
SF1693-03040-40,GREY,40,2,6211 SUIT,SF1693,340,03040
SF1693-01942-42,GREY,42,1,6211 SUIT,SF1693,,
SF1693-02002-42,GREY,42,1,6211 SUIT,SF1693,202,02002
SF1693-01944-44,GREY,44,1,6211 SUIT,SF1693,,
SF1693-03040-44,GREY,44,2,6211 SUIT,SF1693,340,03040
SF1693-04006-40,WHITE,40,1,6211 SUIT,SF1693,OFF,04006
SF1693-04006-42,WHITE,42,1,6211 SUIT,SF1693,OFF,04006
SF1693-03040-38,PEACH,38,1,6211 SUIT,SF1693,340,03040
SF1693-03340-40,PEACH,40,1,6211 SUIT,SF1693,,
SF1693-03342-42,PEACH,42,1,6211 SUIT,SF1693,,
SF1693-03040-42,PEACH,42,1,6211 SUIT,SF1693,340,03040
SF1693-03040-44,PEACH,44,1,6211 SUIT,SF1693,340,03040
SF1693-04006-40,MOVE,40,1,6211 SUIT,SF1693,406,04006
SF1693-04006-42,MOVE,42,1,6211 SUIT,SF1693,406,04006
SF1693-03040-38,LEMON,38,1,6211 SUIT,SF1693,340,03040
SF1693-05090-40,LEMON,40,1,6211 SUIT,SF1693,059,05090
SF1693-05090-46,LEMON,46,1,6211 SUIT,SF1693,059,05090
SF1694-01036-46,WHITE,46,3,6211 SUIT,SF1694,OFF,01036
SF1694-01036-38,MOVE,38,1,6211 SUIT,SF1694,361,01036
SF1694-01036-40,MOVE,40,1,6211 SUIT,SF1694,361,01036
SF1694-01036-42,MOVE,42,3,6211 SUIT,SF1694,361,01036
SF1694-01036-44,MOVE,44,1,6211 SUIT,SF1694,361,01036
SF1694-01036-46,MOVE,46,2,6211 SUIT,SF1694,361,01036
SF1695-02030-42,GREY,42,1,6211 SUIT,SF1695,230,02030
SF1695-02030-38,PEACH,38,1,6211 SUIT,SF1695,230,02030
SF1695-02030-42,PEACH,42,2,6211 SUIT,SF1695,230,02030
SF1695-02030-46,PEACH,46,1,6211 SUIT,SF1695,230,02030
SF1695-02030-38,MOVE,38,1,6211 SUIT,SF1695,230,02030
SF1695-02030-42,MOVE,42,2,6211 SUIT,SF1695,230,02030
SF1696-00542-42,YELLOW,42,1,6211 SUIT,SF1696,,
SF1698-02030-38,GREEN,38,1,6211 SUIT,SF1698,230,02030
SF1698-04047-38,GREEN,38,2,6211 SUIT,SF1698,447,04047
SF1698-04047-40,GREEN,40,3,6211 SUIT,SF1698,447,04047
SF1698-03030-42,GREEN,42,1,6211 SUIT,SF1698,033,03030
SF1698-02030-42,GREEN,42,3,6211 SUIT,SF1698,230,02030
SF1698-04047-42,GREEN,42,1,6211 SUIT,SF1698,447,04047
SF1698-04047-44,GREEN,44,3,6211 SUIT,SF1698,447,04047
SF1698-03030-46,GREEN,46,2,6211 SUIT,SF1698,033,03030
SF1698-02030-46,GREEN,46,2,6211 SUIT,SF1698,230,02030
SF1698-04047-38,PEACH,38,2,6211 SUIT,SF1698,447,04047
SF1698-03030-42,PEACH,42,1,6211 SUIT,SF1698,033,03030
SF1698-02030-42,PEACH,42,1,6211 SUIT,SF1698,230,02030
SF1698-04047-42,PEACH,42,5,6211 SUIT,SF1698,447,04047
SF1698-03030-46,PEACH,46,1,6211 SUIT,SF1698,033,03030
SF1698-02030-46,PEACH,46,1,6211 SUIT,SF1698,230,02030
SF1698-04047-46,PEACH,46,2,6211 SUIT,SF1698,447,04047
SF1698-03030-38,T.BLUE,38,2,6211 SUIT,SF1698,033,03030
SF1698-04047-38,T.BLUE,38,5,6211 SUIT,SF1698,447,04047
SF1698-04047-40,T.BLUE,40,2,6211 SUIT,SF1698,447,04047
SF1698-03030-42,T.BLUE,42,1,6211 SUIT,SF1698,033,03030
SF1698-04047-42,T.BLUE,42,9,6211 SUIT,SF1698,447,04047
SF1698-04047-44,T.BLUE,44,2,6211 SUIT,SF1698,447,04047
SF1698-01060-46,T.BLUE,46,1,6211 SUIT,SF1698,01,01060
SF1698-03030-46,T.BLUE,46,1,6211 SUIT,SF1698,033,03030
SF1698-04047-46,T.BLUE,46,6,6211 SUIT,SF1698,447,04047
00238,,,1,6211 SUIT,SF1701,,
00246,,,4,6211 SUIT,SF1701,,
00738,,,2,6211 SUIT,SF1701,,
00742,,,3,6211 SUIT,SF1701,,
SF1701-03040-46,GREEN,46,1,6211 SUIT,SF1701,340,03040
00942,,,2,6211 SUIT,SF1701,,
00946,,,1,6211 SUIT,SF1701,,
SF1703-01001-42,PURPLE,42,1,6211 SUIT,SF1703,101,01001
SF1704-02001-42,GREEN,42,1,6211 SUIT,SF1704,201,02001
SF1704-03001-42,GAJRI,42,1,6211 SUIT,SF1704,301,03001
SF1706-01001-42,GREEN,42,1,6211 SUIT,SF1706,101,01001
SF1708-02025-38,WHITE,38,4,6211 SUIT,SF1708,OFF,02025
SF1708-02025-40,WHITE,40,1,6211 SUIT,SF1708,OFF,02025
SF1708-02025-42,WHITE,42,7,6211 SUIT,SF1708,OFF,02025
SF1708-02025-44,WHITE,44,1,6211 SUIT,SF1708,OFF,02025
SF1708-02025-46,WHITE,46,4,6211 SUIT,SF1708,OFF,02025
SF1708-02025-38,T.BLUE,38,1,6211 SUIT,SF1708,225,02025
SF1708-02025-42,T.BLUE,42,2,6211 SUIT,SF1708,225,02025
SF1708-02025-46,T.BLUE,46,2,6211 SUIT,SF1708,225,02025
SF1711-01001-42,ONION,42,1,6211 SUIT,SF1711,101,01001
SF1712-01001-42,LEMON,42,1,6211 SUIT,SF1712,101,01001
SF1715-02034-42,GREEN,42,3,6211 SUIT,SF1715,468,02034
SF1715-02034-40,WINE,40,1,6211 SUIT,SF1715,468,02034
SF1715-02034-46,WINE,46,1,6211 SUIT,SF1715,468,02034
SF1715-02034-46,FIROZI,46,1,6211 SUIT,SF1715,468,02034
SF1716-01001-42,RED,42,1,6211 SUIT,SF1716,101,01001
SF1718-02060-38,BLUE,38,1,6211 SUIT,SF1718,026,02060
SF1721-01001-42,RANI,42,1,6211 SUIT,SF1721,101,01001
SF1722-01001-42,RANI,42,1,6211 SUIT,SF1722,101,01001
SF1725-01001-42,RANI,42,1,6211 SUIT,SF1725,101,01001
SF1726-04100-38,BLUE,38,5,6211 SUIT,SF1726,004,04100
SF1726-04100-40,BLUE,40,2,6211 SUIT,SF1726,004,04100
SF1726-04100-42,BLUE,42,4,6211 SUIT,SF1726,004,04100
SF1726-04100-44,BLUE,44,2,6211 SUIT,SF1726,004,04100
SF1726-04100-46,BLUE,46,5,6211 SUIT,SF1726,004,04100
SF1726-04100-38,PURPLE,38,1,6211 SUIT,SF1726,004,04100
SF1726-04100-40,PURPLE,40,2,6211 SUIT,SF1726,004,04100
SF1726-04100-42,PURPLE,42,2,6211 SUIT,SF1726,004,04100
SF1726-04100-44,PURPLE,44,2,6211 SUIT,SF1726,004,04100
SF1726-04100-46,PURPLE,46,2,6211 SUIT,SF1726,004,04100
SF1726-04100-38,WHITE,38,8,6211 SUIT,SF1726,OFF,04100
SF1726-04100-40,WHITE,40,3,6211 SUIT,SF1726,OFF,04100
SF1726-04100-42,WHITE,42,14,6211 SUIT,SF1726,OFF,04100
02042,,,1,6211 SUIT,SF1726,,
SF1726-04100-44,WHITE,44,3,6211 SUIT,SF1726,OFF,04100
SF1726-02046-46,WHITE,46,1,6211 SUIT,SF1726,,
SF1726-04100-46,WHITE,46,8,6211 SUIT,SF1726,OFF,04100
02046,,,2,6211 SUIT,SF1726,,
SF1729-02017-42,GREEN,42,1,6211 SUIT,SF1729,217,02017
SF1729-01001-42,BROWN,42,1,6211 SUIT,SF1729,101,01001
SF1729-03045-38,WINE,38,1,6211 SUIT,SF1729,345,03045
SF1731-02011-38,BLUE,38,2,6211 SUIT,SF1731,102,02011
SF1731-02011-40,BLUE,40,3,6211 SUIT,SF1731,102,02011
SF1731-01001-42,BLUE,42,1,6211 SUIT,SF1731,101,01001
SF1731-02011-42,BLUE,42,2,6211 SUIT,SF1731,102,02011
SF1731-03001-42,BLUE,42,1,6211 SUIT,SF1731,301,03001
SF1731-02011-44,BLUE,44,1,6211 SUIT,SF1731,102,02011
00138,,,4,6211 SUIT,SF1733,,
SF1733-05049-38,WHITE,38,1,6211 SUIT,SF1733,OFF,05049
SF1733-05049-40,WHITE,40,3,6211 SUIT,SF1733,OFF,05049
02044,,,2,6211 SUIT,SF1733,,
SF1735-01001-42,PURPLE,42,1,6211 SUIT,SF1735,101,01001
SF1737-01001-38,GREEN,38,1,6211 SUIT,SF1737,101,01001
SF1738-06045-38,GREEN,38,1,6211 SUIT,SF1738,645,06045
SF1738-05139-38,GREEN,38,2,6211 SUIT,SF1738,951,05139
SF1738-05139-40,GREEN,40,1,6211 SUIT,SF1738,951,05139
SF1738-05139-42,GREEN,42,1,6211 SUIT,SF1738,951,05139
SF1738-05139-44,PINK,44,1,6211 SUIT,SF1738,951,05139
SF1738-05139-46,PINK,46,1,6211 SUIT,SF1738,951,05139
SF1738-06045-38,WHITE,38,4,6211 SUIT,SF1738,OFF,06045
SF1738-05139-38,WHITE,38,3,6211 SUIT,SF1738,OFF,05139
SF1738-06045-40,WHITE,40,1,6211 SUIT,SF1738,OFF,06045
SF1738-05139-40,WHITE,40,1,6211 SUIT,SF1738,OFF,05139
SF1738-06045-42,WHITE,42,2,6211 SUIT,SF1738,OFF,06045
SF1738-06045-44,WHITE,44,2,6211 SUIT,SF1738,OFF,06045
SF1738-06045-46,WHITE,46,8,6211 SUIT,SF1738,OFF,06045
SF1738-05139-46,WHITE,46,1,6211 SUIT,SF1738,OFF,05139
SF1741-06080-38,PURPLE,38,6,6211 SUIT,SF1741,952,06080
SF1741-06080-42,PURPLE,42,4,6211 SUIT,SF1741,952,06080
SF1741-06080-46,PURPLE,46,7,6211 SUIT,SF1741,952,06080
SF1741-06080-40,WHITE,40,1,6211 SUIT,SF1741,OFF,06080
SF1741-06080-46,WHITE,46,1,6211 SUIT,SF1741,OFF,06080
00238,,,2,6211 SUIT,SF1742,,
00240,,,5,6211 SUIT,SF1742,,
00242,,,6,6211 SUIT,SF1742,,
00244,,,5,6211 SUIT,SF1742,,
MOU38,,,1,6211 SUIT,SF1742,,
MOU40,,,2,6211 SUIT,SF1742,,
MOU42,,,4,6211 SUIT,SF1742,,
MOU44,,,3,6211 SUIT,SF1742,,
SF1743-01001-42,GREEN,42,1,6211 SUIT,SF1743,101,01001
SF1744-01001-42,GREY,42,1,6211 SUIT,SF1744,101,01001
SF1745-00438-38,PURPLE,38,3,6211 SUIT,SF1745,,
SF1745-00440-40,PURPLE,40,1,6211 SUIT,SF1745,,
SF1745-00444-44,PURPLE,44,2,6211 SUIT,SF1745,,
SF1745-00446-46,PURPLE,46,4,6211 SUIT,SF1745,,
SF1745-00640-40,MUSTARD,40,1,6211 SUIT,SF1745,,
SF1745-03009-42,MUSTARD,42,2,6211 SUIT,SF1745,309,03009
SF1745-00644-44,MUSTARD,44,1,6211 SUIT,SF1745,,
SF1745-00646-46,MUSTARD,46,4,6211 SUIT,SF1745,,
SF1745-00650-50,MUSTARD,50,1,6211 SUIT,SF1745,,
SF1745-01146-46,RANI,46,2,6211 SUIT,SF1745,,
SF1746-01001-42,MUSTARD,42,1,6211 SUIT,SF1746,101,01001
SF1753-02056-38,GREEN,38,3,6211 SUIT,SF1753,256,02056
SF1753-02056-40,GREEN,40,1,6211 SUIT,SF1753,256,02056
SF1753-02056-42,GREEN,42,2,6211 SUIT,SF1753,256,02056
SF1753-02056-44,GREEN,44,2,6211 SUIT,SF1753,256,02056
SF1753-02056-38,LEMON,38,2,6211 SUIT,SF1753,256,02056
SF1753-02056-40,LEMON,40,1,6211 SUIT,SF1753,256,02056
SF1754-01060-42,PURPLE,42,1,6211 SUIT,SF1754,01,01060
SF1754-01060-38,GREEN,38,1,6211 SUIT,SF1754,01,01060
SF1754-01060-42,GREEN,42,1,6211 SUIT,SF1754,01,01060
SF1754-01060-46,GREEN,46,1,6211 SUIT,SF1754,01,01060
SF1754-01060-38,T.BLUE,38,1,6211 SUIT,SF1754,01,01060
SF1754-01060-42,T.BLUE,42,2,6211 SUIT,SF1754,01,01060
SF1754-01060-46,T.BLUE,46,1,6211 SUIT,SF1754,01,01060
SF1755-02031-38,PURPLE,38,2,6211 SUIT,SF1755,231,02031
SF1755-02031-42,PURPLE,42,6,6211 SUIT,SF1755,231,02031
SF1755-02031-46,PURPLE,46,2,6211 SUIT,SF1755,231,02031
SF1755-02031-38,RANI,38,1,6211 SUIT,SF1755,231,02031
SF1757-06063-50,PURPLE,50,1,6211 SUIT,SF1757,663,06063
SF1757-06063-40,GREEN,40,2,6211 SUIT,SF1757,663,06063
SF1757-06063-42,GREEN,42,1,6211 SUIT,SF1757,663,06063
SF1757-06063-44,GREEN,44,3,6211 SUIT,SF1757,663,06063
SF1757-06063-50,GREEN,50,1,6211 SUIT,SF1757,663,06063
SF1757-02003-42,LEMON,42,1,6211 SUIT,SF1757,203,02003
SF1757-04060-42,LEMON,42,1,6211 SUIT,SF1757,460,04060
SF1757-04060-50,LEMON,50,2,6211 SUIT,SF1757,460,04060
SF1758-03060-38,PURPLE,38,5,6211 SUIT,SF1758,360,03060
SF1758-03060-40,PURPLE,40,2,6211 SUIT,SF1758,360,03060
SF1758-03060-42,PURPLE,42,6,6211 SUIT,SF1758,360,03060
SF1758-03060-44,PURPLE,44,2,6211 SUIT,SF1758,360,03060
SF1758-03060-46,PURPLE,46,4,6211 SUIT,SF1758,360,03060
SF1758-03060-38,GREEN,38,4,6211 SUIT,SF1758,360,03060
SF1758-03060-40,GREEN,40,2,6211 SUIT,SF1758,360,03060
SF1758-03060-42,GREEN,42,7,6211 SUIT,SF1758,360,03060
SF1758-03060-44,GREEN,44,2,6211 SUIT,SF1758,360,03060
SF1758-03060-46,GREEN,46,5,6211 SUIT,SF1758,360,03060
SF1758-01001-42,WHITE,42,1,6211 SUIT,SF1758,OFF,01001
SF1758-03060-38,MOVE,38,2,6211 SUIT,SF1758,360,03060
SF1758-03060-40,MOVE,40,2,6211 SUIT,SF1758,360,03060
SF1758-03060-42,MOVE,42,5,6211 SUIT,SF1758,360,03060
SF1758-03060-44,MOVE,44,1,6211 SUIT,SF1758,360,03060
SF1758-03060-46,MOVE,46,2,6211 SUIT,SF1758,360,03060
SF1764-01001-42,ONION,42,1,6211 SUIT,SF1764,101,01001
SF1766-00244-44,BLUE,44,1,6211 SUIT,SF1766,,
SF1766-00246-46,BLUE,46,1,6211 SUIT,SF1766,,
SF1766-00342-42,RED,42,1,6211 SUIT,SF1766,,
SF1766-00344-44,RED,44,1,6211 SUIT,SF1766,,
SF1766-00438-38,PURPLE,38,1,6211 SUIT,SF1766,,
SF1766-00440-40,PURPLE,40,1,6211 SUIT,SF1766,,
SF1766-00442-42,PURPLE,42,3,6211 SUIT,SF1766,,
SF1766-00444-44,PURPLE,44,2,6211 SUIT,SF1766,,
SF1768-02002-42,BLUE,42,1,6211 SUIT,SF1768,202,02002
SF1769-00638-38,MUSTARD,38,1,6211 SUIT,SF1769,,
SF1769-00642-42,MUSTARD,42,1,6211 SUIT,SF1769,,
SF1769-01030-38,GREEN,38,1,6211 SUIT,SF1769,013,01030
SF1772-02030-44,GREEN,44,1,6211 SUIT,SF1772,230,02030
SF1772-03059-46,GREEN,46,1,6211 SUIT,SF1772,888,03059
SF1773-01063-38,YELLOW,38,1,6211 SUIT,SF1773,546,01063
SF1773-01063-40,YELLOW,40,1,6211 SUIT,SF1773,546,01063
SF1773-01063-42,YELLOW,42,2,6211 SUIT,SF1773,546,01063
SF1773-01063-38,GREEN,38,1,6211 SUIT,SF1773,546,01063
SF1773-01063-40,GREEN,40,1,6211 SUIT,SF1773,546,01063
SF1773-01063-42,GREEN,42,3,6211 SUIT,SF1773,546,01063
SF1773-01063-44,GREEN,44,1,6211 SUIT,SF1773,546,01063
SF1773-01063-46,GREEN,46,2,6211 SUIT,SF1773,546,01063
SF1773-01063-38,PEACH,38,1,6211 SUIT,SF1773,546,01063
SF1773-01063-42,PEACH,42,2,6211 SUIT,SF1773,546,01063
SF1773-01063-46,PEACH,46,1,6211 SUIT,SF1773,546,01063
SF1773-01063-42,LEMON,42,1,6211 SUIT,SF1773,546,01063
SF1775-01060-38,RED,38,2,6211 SUIT,SF1775,01,01060
SF1775-01060-40,RED,40,1,6211 SUIT,SF1775,01,01060
SF1775-01060-46,RED,46,2,6211 SUIT,SF1775,01,01060
SF1775-01060-46,BEIGE,46,2,6211 SUIT,SF1775,01,01060
01038,,,1,6211 SUIT,SF1777,,
01042,,,1,6211 SUIT,SF1777,,
02038,,,1,6211 SUIT,SF1777,,
SF1777-01103-38,MOVE,38,2,6211 SUIT,SF1777,3+6,01103
SF1780-03060-38,BLUE,38,3,6211 SUIT,SF1780,360,03060
SF1780-03060-42,BLUE,42,3,6211 SUIT,SF1780,360,03060
SF1780-02001-46,BLUE,46,1,6211 SUIT,SF1780,201,02001
SF1780-03060-46,BLUE,46,1,6211 SUIT,SF1780,360,03060
SF1780-03060-38,PURPLE,38,1,6211 SUIT,SF1780,360,03060
SF1780-03060-40,PURPLE,40,2,6211 SUIT,SF1780,360,03060
SF1780-03060-44,PURPLE,44,1,6211 SUIT,SF1780,360,03060
SF1780-03060-38,WHITE,38,3,6211 SUIT,SF1780,OFF,03060
SF1780-05002-42,WHITE,42,1,6211 SUIT,SF1780,OFF,05002
SF1780-03060-42,WHITE,42,1,6211 SUIT,SF1780,OFF,03060
SF1780-04002-46,WHITE,46,1,6211 SUIT,SF1780,OFF,04002
SF1783-01080-42,BLUE,42,1,6211 SUIT,SF1783,955,01080
SF1783-01080-44,BLUE,44,1,6211 SUIT,SF1783,955,01080
SF1783-01080-38,GREEN,38,2,6211 SUIT,SF1783,955,01080
SF1783-01080-40,GREEN,40,1,6211 SUIT,SF1783,955,01080
SF1783-01080-42,GREEN,42,6,6211 SUIT,SF1783,955,01080
SF1783-01080-44,GREEN,44,1,6211 SUIT,SF1783,955,01080
SF1783-01080-46,GREEN,46,2,6211 SUIT,SF1783,955,01080
SF1783-01080-42,RANI,42,1,6211 SUIT,SF1783,955,01080
SF1783-01080-44,RANI,44,1,6211 SUIT,SF1783,955,01080
SF1784-01001-42,GREEN,42,1,6211 SUIT,SF1784,101,01001
SF1785-01001-42,ONION,42,1,6211 SUIT,SF1785,101,01001
SF1786-02001-42,MUSTARD,42,1,6211 SUIT,SF1786,201,02001
SF1786-03001-42,MUSTARD,42,1,6211 SUIT,SF1786,301,03001
SF1786-01001-42,MOVE,42,1,6211 SUIT,SF1786,101,01001
SF1793-02093-38,GREY,38,2,6211 SUIT,SF1793,293,02093
SF1793-02093-40,GREY,40,2,6211 SUIT,SF1793,293,02093
SF1793-02093-42,GREY,42,3,6211 SUIT,SF1793,293,02093
SF1793-02093-44,GREY,44,2,6211 SUIT,SF1793,293,02093
SF1793-02093-38,PEACH,38,2,6211 SUIT,SF1793,293,02093
SF1793-02093-40,PEACH,40,2,6211 SUIT,SF1793,293,02093
SF1793-02093-42,PEACH,42,3,6211 SUIT,SF1793,293,02093
SF1793-02093-44,PEACH,44,2,6211 SUIT,SF1793,293,02093
SF1793-02093-38,LEMON,38,2,6211 SUIT,SF1793,293,02093
SF1793-02093-40,LEMON,40,2,6211 SUIT,SF1793,293,02093
SF1793-02093-42,LEMON,42,3,6211 SUIT,SF1793,293,02093
SF1793-02093-44,LEMON,44,2,6211 SUIT,SF1793,293,02093
SF1794-01001-42,MOVE,42,1,6211 SUIT,SF1794,101,01001
SF1798-01001-42,MOVE,42,1,6211 SUIT,SF1798,101,01001
SF1803-02040-38,PEACH,38,4,6211 SUIT,SF1803,024,02040
SF1803-02040-40,PEACH,40,5,6211 SUIT,SF1803,024,02040
SF1803-02040-42,PEACH,42,5,6211 SUIT,SF1803,024,02040
SF1803-02040-44,PEACH,44,5,6211 SUIT,SF1803,024,02040
SF1803-02040-38,LEMON,38,4,6211 SUIT,SF1803,024,02040
SF1803-02040-40,LEMON,40,5,6211 SUIT,SF1803,024,02040
SF1803-02040-42,LEMON,42,5,6211 SUIT,SF1803,024,02040
SF1803-01001-42,LEMON,42,1,6211 SUIT,SF1803,101,01001
SF1803-02040-44,LEMON,44,5,6211 SUIT,SF1803,024,02040
SF1805-01002-42,YELLOW,42,1,6211 SUIT,SF1805,012,01002
00738,,,3,6211 SUIT,SF589B,,
00740,,,1,6211 SUIT,SF589B,,
00742,,,4,6211 SUIT,SF589B,,
00744,,,2,6211 SUIT,SF589B,,
00746,,,2,6211 SUIT,SF589B,,
00750,,,2,6211 SUIT,SF589B,,
01046,,,1,6211 SUIT,SF589B,,
SF589B-29060-42,MOVE,42,1,6211 SUIT,SF589B,09Z,29060
SF589B-29060-44,MOVE,44,1,6211 SUIT,SF589B,09Z,29060
T.B42,,,1,6211 SUIT,SF589B,,
